,year,month,lat,lon,depth,btm_sub,sfc_temp,sfc_salt,btm_temp,btm_salt,limfer_100m3
425,2000,10,41.9967,-66.9167,58,3,14.82,32.501,13.84,32.537,0.0
426,2000,10,41.7917,-66.7667,60,3,14.62,31.846999999999998,13.89,32.554,0.0
427,2000,10,41.8117,-66.2233,81,3,15.61,32.496,10.06,32.955999999999996,0.0
428,2000,10,41.6333,-65.8883,143,3,16.27,31.755,9.13,34.393,0.0
429,2000,10,41.8033,-65.8033,131,3,16.23,31.476999999999997,9.08,34.474000000000004,0.0
430,2000,10,42.03,-65.8983,192,3,15.16,31.721,8.75,34.888000000000005,0.0
431,2000,10,42.09,-66.2567,89,3,15.25,32.554,8.05,33.188,0.0
434,2000,10,43.3517,-66.28,60,3,11.94,32.010999999999996,10.79,32.467,0.0
435,2000,10,43.445,-66.755,162,3,11.69,32.658,9.48,34.444,0.0
436,2000,10,43.755,-66.6083,112,3,12.2,32.968,10.2,33.571,0.0
